season,player_id,player_name,pos,age,team,games,games_started,minutes_per_game,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,fg_pct,fg3_pct,fg2_pct,ft_pct,efg_pct,per,ts_pct,usg_pct,bpm,obpm,dbpm,vorp,ws,ws_per_48,years_in_league
2005-06,szczewa02,Wally Szczerbiak,SF,28,2TM,72,71,37.903,18.972,4.347,2.958,0.556,0.264,1.889,0.4872,0.4,0.5165,0.8968,0.5375,17.7,0.5947,22.1,1.6,2.8,-1.2,2.5,8.0,0.141,
2005-06,gordobe01,Ben Gordon,SG,22,CHI,80,47,31.025,16.863,2.737,3.0,0.938,0.062,2.25,0.4219,0.4346,0.4156,0.7873,0.4939,14.5,0.5311,26.3,0.5,0.7,-0.3,1.6,4.4,0.085,
2005-06,cassesa01,Sam Cassell,PG,36,LAC,78,75,34.013,17.244,3.679,6.295,0.949,0.141,2.244,0.4433,0.3684,0.4588,0.8627,0.4748,18.5,0.534,25.0,1.6,2.1,-0.5,2.4,7.6,0.138,
2005-06,randoza01,Zach Randolph,PF,24,POR,74,71,34.392,18.014,8.0,1.946,0.77,0.189,2.23,0.4361,0.2909,0.4429,0.7143,0.4426,16.9,0.483,28.8,-2.0,0.5,-2.6,0.0,1.3,0.025,5
2005-06,jacksst02,Stephen Jackson,SG,27,IND,81,81,35.926,16.407,3.852,2.778,1.284,0.531,2.506,0.4111,0.3451,0.4388,0.7859,0.4621,13.6,0.5119,24.0,-0.1,-0.6,0.5,1.4,4.4,0.073,
2005-06,butleca01,Caron Butler,SF,25,WAS,75,54,36.107,17.573,6.213,2.48,1.693,0.24,2.333,0.4549,0.3417,0.4689,0.8705,0.4738,17.0,0.5349,23.2,0.6,0.4,0.1,1.7,6.3,0.112,4
2005-06,howardw01,Dwight Howard,PF,20,ORL,82,81,36.841,15.756,12.463,1.524,0.793,1.402,2.646,0.5312,0.0,0.5324,0.5953,0.5312,19.3,0.5646,21.3,1.0,1.1,-0.1,2.3,8.6,0.137,2
2005-06,stojape01,Peja Stojaković,SF,28,2TM,71,71,36.634,18.169,5.845,1.915,0.634,0.141,1.451,0.4371,0.401,0.4609,0.9154,0.5167,16.7,0.5696,22.0,1.6,2.4,-0.8,2.3,8.0,0.148,
2005-06,hinriki01,Kirk Hinrich,PG,25,CHI,81,81,36.481,15.852,3.556,6.346,1.16,0.259,2.321,0.4184,0.3695,0.441,0.8153,0.4768,15.5,0.5279,21.4,1.8,1.1,0.6,2.8,7.6,0.123,3
2005-06,mingya01,Yao Ming,C,25,HOU,57,57,34.193,22.298,10.193,1.491,0.526,1.649,2.579,0.5189,0.0,0.5195,0.8532,0.5189,25.6,0.5918,29.9,4.4,3.5,0.9,3.2,8.6,0.212,
2005-06,westda01,David West,PF,25,NOK,74,74,34.135,17.054,7.405,1.243,0.824,0.865,1.419,0.5116,0.2727,0.5141,0.8432,0.513,19.7,0.5536,23.0,1.4,1.8,-0.3,2.2,7.4,0.141,3
2005-06,paulch01,Chris Paul,PG,20,NOK,78,78,36.0,16.128,5.128,7.833,2.244,0.077,2.346,0.4298,0.2825,0.4636,0.8473,0.4562,22.1,0.5462,22.2,5.2,3.0,2.2,5.1,10.4,0.178,1
2005-06,ilgauzy01,Zydrunas Ilgauskas,C,30,CLE,78,78,29.269,15.603,7.577,1.167,0.487,1.744,1.987,0.5062,0.0,0.509,0.8342,0.5062,21.9,0.5761,24.6,1.6,1.4,0.2,2.1,8.7,0.183,
2005-06,wallara01,Rasheed Wallace,PF,31,DET,80,80,34.75,15.113,6.838,2.275,1.025,1.625,1.062,0.4302,0.3571,0.4803,0.7432,0.5028,17.6,0.5268,21.1,3.7,1.8,1.9,4.0,8.9,0.154,
2005-06,odomla01,Lamar Odom,PF,26,LAL,80,80,40.263,14.825,9.225,5.537,0.938,0.8,2.663,0.4811,0.3721,0.5141,0.6901,0.5243,17.0,0.558,18.1,2.7,2.1,0.6,3.9,9.2,0.137,
2005-06,millebr01,Brad Miller,C,29,SAC,79,79,37.0,14.962,7.785,4.734,0.772,0.785,2.278,0.4949,0.3864,0.507,0.8284,0.5143,17.5,0.5762,18.9,2.5,1.5,1.0,3.3,9.1,0.149,
2005-06,onealsh01,Shaquille O'Neal,C,33,MIA,59,58,30.61,20.017,9.169,1.915,0.39,1.763,2.847,0.6,,0.6,0.4692,0.6,24.4,0.5863,30.0,2.7,2.4,0.3,2.1,6.2,0.165,
2005-06,moblecu01,Cuttino Mobley,SG,30,LAC,79,74,37.709,14.81,4.316,3.013,1.177,0.456,1.835,0.4256,0.3388,0.4535,0.8388,0.4668,13.1,0.5186,19.8,-0.2,-0.7,0.5,1.3,5.3,0.085,
2005-06,turkohe01,Hedo Türkoğlu,SF,26,ORL,78,59,33.526,14.936,4.269,2.769,0.897,0.269,1.667,0.4538,0.4028,0.4781,0.8615,0.5188,16.7,0.5783,20.6,2.0,2.1,-0.2,2.5,7.6,0.14,
2005-06,bellra01,Raja Bell,SG,29,PHO,79,79,37.456,14.709,3.203,2.62,0.962,0.278,1.127,0.457,0.4417,0.4711,0.7877,0.5629,12.9,0.5844,16.4,0.2,0.2,0.1,1.6,6.8,0.11,
2005-06,princta01,Tayshaun Prince,SF,25,DET,82,82,35.341,14.098,4.22,2.268,0.756,0.476,1.11,0.4555,0.3497,0.4792,0.7647,0.4875,14.8,0.5237,19.6,0.3,0.5,-0.2,1.7,7.0,0.116,4
