player_id,player_name,split,log_aav_cap_share,deal_year,years,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,age_at_signing,height_inches,weight_lb,years_pro,incumbent,player_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_metro_pop_m,team_big_market,team_metro_pop_m,team_dma_rank,mid_season,signed_via_extension,signed_via_free_agency,signed_via_offer_sheet,signed_via_sign_and_trade,fa_status_RFA,fa_status_UFA,fa_status_na,cba_regime_cba_2017,cba_regime_cba_2023,cba_regime_pre_2017,pos_C,pos_PF,pos_PG,pos_SF,pos_SG,pos_na,team_market_size_ord,prior_team_market_size_ord,undrafted
alexani01,Nickeil Alexander-Walker,test,-2.300305,2025,4,1,82.0,9.427,25.28,11.6,-0.4,0.8,4.3,0.1,16.0,0.5787,2.72,3.232,0.415,0.61,1.207,6,381.0,8.55,20.85,1.6,10.3,2.1,9.7,27,77,205,6,0.0,1,0.25,0,0,-1.41,-1.1,-1.13,40.0,0.0,0.0,-33.831,161.256,7.126,15.0,5.15,5.1,5.0,49.0,1.0,0.0,-96.138,198.848,3.706,15.0,0.0,3.703,1,6.144,7.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1.0,0
allengr01,Grayson Allen,test,-2.178944,2024,4,1,75.0,13.52,33.507,13.8,1.3,2.0,6.9,0.132,14.5,0.679,3.027,3.933,0.6,0.92,1.267,6,339.0,10.53,25.61,4.3,20.1,4.1,16.2,29,75,198,6,1.0,1,0.3,0,0,3.08,3.0,3.06,49.0,1.0,0.0,-59.2,188.29,3.041,16.0,3.08,3.0,3.06,49.0,1.0,0.0,-59.2,188.29,3.041,16.0,0.0,5.059,0,5.059,12.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2.0,0
allenja01,Jarrett Allen,train,-1.726456,2021,5,1,63.0,12.794,29.587,20.1,1.1,1.4,6.4,0.165,16.6,0.6611,1.683,10.016,1.429,0.508,1.587,4,285.0,10.67,25.45,5.8,26.4,5.3,22.2,23,81,243,4,1.0,0,0.25,0,0,-8.19,-8.6,-8.44,22.0,0.0,0.0,-17.387,95.789,30.739,15.0,-8.19,-8.6,-8.44,22.0,0.0,0.0,-17.387,95.789,30.739,15.0,0.0,2.088,0,2.088,19.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.0,0
allenja01,Jarrett Allen,test,-1.63198,2024,3,1,77.0,16.506,31.714,21.8,3.0,3.1,10.7,0.21,19.4,0.6639,2.727,10.532,1.052,0.688,1.571,7,486.0,12.73,28.24,14.0,55.1,8.2,28.7,26,81,243,7,1.0,0,0.3,0,0,1.98,2.5,2.41,48.0,1.0,0.0,-32.23,160.093,4.119,15.0,1.98,2.5,2.41,48.0,1.0,0.0,-32.23,160.093,4.119,15.0,0.0,2.088,0,2.088,19.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.0,0
allenla01,Lavoy Allen,train,-2.85597,2015,2,1,63.0,5.0,16.984,14.9,0.0,0.6,2.8,0.126,15.2,0.4927,1.159,5.127,0.667,0.238,0.635,4,248.0,5.01,17.88,-0.4,8.4,-0.4,6.8,26,81,260,3,1.0,0,0.25,0,1,-0.23,0.3,0.28,38.0,0.0,0.0,-12.934,74.799,0.0,15.0,-0.23,0.3,0.28,38.0,0.0,0.0,-12.934,74.799,0.0,15.0,0.0,2.126,0,2.126,25.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0
alvarjo01,Jose Alvarado,test,-3.537068,2024,2,1,56.0,7.089,18.357,12.5,-0.1,0.5,2.1,0.098,17.3,0.5396,2.089,2.286,0.268,1.054,0.714,3,171.0,7.47,18.55,1.6,6.0,1.6,6.0,26,72,179,3,1.0,0,0.25,0,1,4.46,4.5,4.41,49.0,1.0,0.0,-40.949,164.657,0.245,15.0,4.46,4.5,4.41,49.0,1.0,0.0,-40.949,164.657,0.245,15.0,0.0,1.29,0,1.29,50.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,1
alvarjo01,Jose Alvarado,test,-3.569229,2026,3,1,69.0,7.391,19.855,12.1,-1.0,0.3,2.2,0.077,16.8,0.5434,3.391,2.478,0.116,0.957,1.116,5,296.0,7.99,19.96,2.1,9.4,1.0,5.5,28,72,179,5,1.0,0,0.25,0,0,6.05,6.5,6.33,53.0,1.0,1.0,-55.177,207.454,0.073,15.0,6.05,6.5,6.33,53.0,1.0,1.0,-55.177,207.454,0.073,15.0,1.0,19.113,1,19.113,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,2.0,1
aminual01,Al-Farouq Aminu,train,-4.104945,2014,2,1,80.0,7.15,25.562,13.2,-0.6,0.7,3.1,0.073,14.3,0.516,1.425,6.2,0.475,1.025,1.1,4,303.0,6.54,23.23,1.3,8.3,1.6,7.6,24,81,220,4,1.0,0,0.25,0,1,0.28,0.3,0.28,42.0,1.0,0.0,-12.901,92.25,0.0,15.0,0.34,0.5,0.43,42.0,1.0,0.0,-12.901,92.929,0.0,15.0,1.0,7.943,1,7.943,4.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2.0,0
aminual01,Al-Farouq Aminu,train,-2.233592,2015,4,1,74.0,5.568,18.459,14.4,0.7,1.0,3.3,0.116,15.2,0.5038,0.797,4.622,0.838,0.946,0.743,5,377.0,6.35,22.3,2.3,11.6,2.7,9.5,25,81,220,5,1.0,0,0.25,0,1,4.41,4.5,4.23,51.0,1.0,0.0,-10.845,72.965,0.03,16.0,4.41,4.5,4.23,51.0,1.0,0.0,-10.845,72.965,0.03,16.0,0.0,2.511,0,2.511,23.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0
aminual01,Al-Farouq Aminu,train,-2.417075,2019,3,1,81.0,9.383,28.296,13.2,0.7,1.5,5.8,0.121,13.7,0.5679,1.284,7.531,0.407,0.84,0.889,9,670.0,7.72,25.2,6.7,27.5,3.2,11.9,29,81,220,9,0.0,0,0.3,0,1,0.28,0.8,0.71,42.0,1.0,0.0,-15.892,112.687,1.984,15.0,4.43,4.2,4.2,53.0,1.0,0.0,-31.227,128.005,5.091,15.0,0.0,2.511,0,2.673,15.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.0,0
