player_id,player_name,spotrac_id,deal_date,deal_year,team,total_value_m,deal_type,verified,fa_status,max_tier_pct,max_tier_aav_pct,aav_over_tier,signed_max,supermax,signed_via,prior_team,incumbent,player_option,team_option,outstanding_options,contract_start_year,salary_cap_m,aav_m,aav_cap_share,log_aav_cap_share,end_year,completed,years_remaining,market,year1_salary,signing_season_salary_m,team_dma_rank,team_tv_homes_m,team_metro_pop_m,team_market_size,team_big_market,prior_team_dma_rank,prior_team_tv_homes_m,prior_team_metro_pop_m,prior_team_market_size,prior_team_big_market
aldrila01,LaMarcus Aldridge,2672,"Oct 21, 2009",2009,POR,67.5,rookie-scale,1,,0.25,0.29,0,0,0,extension,POR,1,0,,0,2010,,13.5,,,2014,1,0,1,,,23,1.27792,2.511,Small,0,23,1.27792,2.511,Small,0
aldrila01,LaMarcus Aldridge,2672,"Jul 09, 2015",2015,SAS,84.1,maximum,1,UFA,0.3,0.336,0,1,0,free_agency,SAS,1,0,,0,2015,70.0,21.025,0.300357,-1.202783,2018,1,0,1,,19.5,31,1.0964,2.602,Small,0,31,1.0964,2.602,Small,0
aldrila01,LaMarcus Aldridge,2672,"Oct 16, 2017",2017,SAS,50.0,extension,1,,0.35,0.364,0,0,0,extension,SAS,1,1,,0,2018,101.869,25.0,0.245413,-1.404812,2019,1,0,1,,21.46101,31,1.0964,2.602,Small,0,31,1.0964,2.602,Small,0
alexani01,Nickeil Alexander-Walker,31574,"Jul 07, 2019",2019,NOP,14.35,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,NOP,1,0,,2,2019,109.14,3.587,0.032871,-3.415176,2022,1,0,0,,2.96484,50,0.67279,1.29,Small,0,50,0.67279,1.29,Small,0
alexani01,Nickeil Alexander-Walker,31574,"Jul 09, 2023",2023,MIN,9.0,standard,1,UFA,0.25,0.26,0,0,0,free_agency,MIN,1,0,,0,2023,136.021,4.5,0.033083,-3.408732,2024,1,0,1,,4.6875,16,1.88668,3.703,Medium,0,16,1.88668,3.703,Medium,0
alexani01,Nickeil Alexander-Walker,31574,"Jul 06, 2025",2025,ATL,62.0,standard,1,UFA,0.25,0.28,0,0,0,sign_and_trade,MIN,0,1,,0,2025,154.647,15.5,0.100228,-2.300305,2028,0,3,1,,15.1618,7,2.75817,6.144,Large,1,16,1.88668,3.703,Medium,0
allengr01,Grayson Allen,26987,"Jul 02, 2018",2018,UTH,7.05,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,UTA,0,0,,2,2018,101.869,1.762,0.017302,-4.056954,2021,1,0,0,,2.07432,28,1.16352,1.266,Small,0,28,1.16352,1.266,Small,0
allengr01,Grayson Allen,26987,"Oct 18, 2021",2021,MIL,20.0,rookie-scale,1,,0.25,0.26,0,0,0,extension,MEM,0,0,,0,2022,123.655,10.0,0.08087,-2.51491,2023,1,0,1,,4.054695,38,0.9449,1.586,Small,0,51,0.6663,1.358,Small,0
allengr01,Grayson Allen,26987,"Apr 16, 2024",2024,PHX,70.0,extension,1,,0.3,0.336,0,0,0,extension,PHX,1,1,,0,2025,154.647,17.5,0.113161,-2.178944,2028,0,3,1,,15.625,12,2.1982,5.059,Large,0,12,2.1982,5.059,Large,0
allenja01,Jarrett Allen,23617,"Jul 20, 2017",2017,BKN,10.03,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,BKN,1,0,,2,2017,99.093,2.507,0.025305,-3.676773,2020,1,0,0,,1.71372,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
allenja01,Jarrett Allen,23617,"Aug 06, 2021",2021,CLE,100.0,standard,1,RFA,0.25,0.29,0,0,0,free_agency,CLE,1,0,,0,2021,112.414,20.0,0.177914,-1.726456,2025,1,0,1,,20.0,19,1.55434,2.088,Medium,0,19,1.55434,2.088,Medium,0
allenja01,Jarrett Allen,23617,"Aug 02, 2024",2024,CLE,90.72,extension,1,,0.3,0.324,0,0,0,extension,CLE,1,0,,0,2025,154.647,30.24,0.195542,-1.63198,2027,0,2,1,,20.0,19,1.55434,2.088,Medium,0,19,1.55434,2.088,Medium,0
allenla01,Lavoy Allen,8102,"Dec 09, 2011",2011,PHI,0.473604,standard,1,,0.25,0.25,0,0,0,free_agency,PHI,1,0,,1,2011,,0.474,,,2011,1,0,0,,,5,3.14592,6.228,Large,1,5,3.14592,6.228,Large,1
allenla01,Lavoy Allen,8102,"Jul 11, 2012",2012,PHI,6.06,standard,1,RFA,0.25,0.26,0,0,0,free_agency,PHI,1,0,,1,2012,,3.03,,,2013,1,0,1,,,5,3.14592,6.228,Large,1,5,3.14592,6.228,Large,1
allenla01,Lavoy Allen,8102,"Jul 11, 2014",2014,IND,0.948163,standard,1,UFA,0.25,0.25,0,0,0,free_agency,IND,1,0,,1,2014,63.065,0.948,0.015035,-4.197395,2014,1,0,0,,,25,1.23221,2.126,Small,0,25,1.23221,2.126,Small,0
allenla01,Lavoy Allen,8102,"Jul 27, 2015",2015,IND,8.05,standard,1,RFA,0.25,0.26,0,0,0,free_agency,IND,1,0,,1,2015,70.0,4.025,0.0575,-2.85597,2016,1,0,1,,3.7,25,1.23221,2.126,Small,0,25,1.23221,2.126,Small,0
allento01,Tony Allen,2210,"Jul 02, 2004",2004,BOS,2.91,standard,1,,0.25,0.27,0,0,0,free_agency,BOS,1,0,,1,2004,,0.97,,,2006,1,0,1,,,9,2.58446,4.899,Large,1,9,2.58446,4.899,Large,1
allento01,Tony Allen,2210,"Jul 19, 2008",2008,BOS,5.0,standard,1,RFA,0.25,0.26,0,0,0,free_agency,BOS,1,0,,0,2008,,2.5,,,2009,1,0,1,,,9,2.58446,4.899,Large,1,9,2.58446,4.899,Large,1
allento01,Tony Allen,2210,"Jul 12, 2010",2010,MEM,9.45,standard,1,UFA,0.25,0.27,0,0,0,free_agency,MEM,1,0,,0,2010,,3.15,,,2012,1,0,1,,,51,0.6663,1.358,Small,0,51,0.6663,1.358,Small,0
allento01,Tony Allen,2210,"Jul 15, 2013",2013,MEM,20.0,standard,1,UFA,0.3,0.336,0,0,0,free_agency,MEM,1,0,,0,2013,,5.0,,,2016,1,0,1,,,51,0.6663,1.358,Small,0,51,0.6663,1.358,Small,0
alvarjo01,Jose Alvarado,74331,"Sep 30, 2024",2024,NOP,9.0,extension,1,,0.25,0.26,0,0,0,extension,NOP,1,0,,1,2025,154.647,4.5,0.029099,-3.537068,2026,0,1,1,,1.988598,50,0.67279,1.29,Small,0,50,0.67279,1.29,Small,0
alvarjo01,Jose Alvarado,74331,"Jul 06, 2026",2026,NYK,14.38,standard,1,UFA,0.25,0.27,0,0,0,free_agency,NYK,1,0,,0,2026,170.1117,4.793,0.028178,-3.569229,2028,0,3,1,,,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
aminual01,Al-Farouq Aminu,6890,"Jul 08, 2010",2010,LAC,5.31,standard,1,,0.25,0.26,0,0,0,free_agency,LAC,1,0,,3,2010,,2.655,,,2011,1,0,1,,,2,5.83579,12.901,Large,1,2,5.83579,12.901,Large,1
aminual01,Al-Farouq Aminu,6890,"Jul 28, 2014",2014,DAL,2.08,standard,1,RFA,0.25,0.26,0,0,0,free_agency,DAL,1,0,,1,2014,63.065,1.04,0.016491,-4.104945,2015,1,0,1,,,4,3.26449,7.943,Large,1,4,3.26449,7.943,Large,1
aminual01,Al-Farouq Aminu,6890,"Jul 09, 2015",2015,POR,30.0,standard,1,UFA,0.25,0.28,0,0,0,free_agency,POR,1,0,,1,2015,70.0,7.5,0.107143,-2.233592,2018,1,0,1,,7.5,23,1.27792,2.511,Small,0,23,1.27792,2.511,Small,0
aminual01,Al-Farouq Aminu,6890,"Jul 06, 2019",2019,ORL,29.2,standard,1,UFA,0.3,0.324,0,0,0,free_agency,POR,0,0,,1,2019,109.14,9.733,0.089182,-2.417075,2021,1,0,1,,9.258,15,1.90242,2.673,Medium,0,23,1.27792,2.511,Small,0
anderal01,Alan Anderson,9261,"Aug 05, 2005",2005,CHA,0.398762,standard,1,,0.25,0.25,0,0,0,free_agency,CHA,1,0,,1,2005,,0.399,,,2005,1,0,0,,,21,1.38202,2.66,Small,0,21,1.38202,2.66,Small,0
anderal01,Alan Anderson,9261,"Jul 27, 2012",2012,TOR,0.88512,standard,1,UFA,0.3,0.3,0,0,0,free_agency,TOR,1,0,,0,2012,,0.885,,,2012,1,0,0,,,,,6.202,Large,1,,,6.202,Large,1
anderal01,Alan Anderson,9261,"Jul 30, 2013",2013,BKN,2.0,standard,1,UFA,0.3,0.312,0,0,0,free_agency,BKN,1,0,,0,2013,,1.0,,,2014,1,0,1,,,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
anderal01,Alan Anderson,9261,"Jul 15, 2014",2014,BKN,2.6,standard,1,UFA,0.3,0.312,0,0,0,free_agency,BKN,1,1,,0,2014,63.065,1.3,0.020614,-3.881802,2015,1,0,1,,,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
anderal01,Alan Anderson,9261,"Jul 12, 2015",2015,WAS,4.0,standard,1,UFA,0.35,0.35,0,0,0,free_agency,WAS,1,0,,0,2015,70.0,4.0,0.057143,-2.862201,2015,1,0,0,,4.0,8,2.63064,6.385,Large,1,8,2.63064,6.385,Large,1
anderal01,Alan Anderson,9261,"Aug 02, 2016",2016,LAC,1.3,standard,1,UFA,0.35,0.35,0,0,0,free_agency,WAS,0,0,,0,2016,94.143,1.3,0.013809,-4.282451,2016,1,0,0,,1.315448,2,5.83579,12.901,Large,1,8,2.63064,6.385,Large,1
anderch01,Chris Andersen,6102,"Nov 21, 2001",2001,DEN,0.8,standard,1,,,,0,0,0,free_agency,DEN,1,0,,1,2001,,0.4,,,2002,1,0,1,,,17,1.80627,3.038,Medium,0,17,1.80627,3.038,Medium,0
anderch01,Chris Andersen,6102,"Nov 29, 2003",2003,DEN,0.638,standard,1,RFA,,,0,0,0,free_agency,DEN,1,0,,1,2003,,0.638,,,2003,1,0,0,,,17,1.80627,3.038,Medium,0,17,1.80627,3.038,Medium,0
anderch01,Chris Andersen,6102,"Jul 24, 2008",2008,DEN,0.998,standard,1,UFA,0.3,0.3,0,0,0,free_agency,DEN,1,0,,1,2008,,0.998,,,2008,1,0,0,,,17,1.80627,3.038,Medium,0,17,1.80627,3.038,Medium,0
anderch01,Chris Andersen,6102,"Jul 08, 2009",2009,DEN,21.17,standard,1,UFA,0.3,0.348,0,0,0,free_agency,DEN,1,0,,1,2009,,4.234,,,2013,1,0,1,,,17,1.80627,3.038,Medium,0,17,1.80627,3.038,Medium,0
anderch01,Chris Andersen,6102,"Jul 10, 2013",2013,MIA,2.85,standard,1,UFA,0.35,0.364,0,0,0,free_agency,MIA,1,0,,1,2013,,1.425,,,2014,1,0,1,,,18,1.75692,6.266,Medium,0,18,1.75692,6.266,Medium,0
anderch01,Chris Andersen,6102,"Jul 19, 2014",2014,MIA,10.375,standard,1,UFA,0.35,0.364,0,0,0,free_agency,MIA,1,0,,0,2014,63.065,5.188,0.082256,-2.497914,2015,1,0,1,,,18,1.75692,6.266,Medium,0,18,1.75692,6.266,Medium,0
anderch01,Chris Andersen,6102,"Jul 22, 2016",2016,CLE,1.55,standard,1,UFA,0.35,0.35,0,0,0,free_agency,MEM,0,0,,0,2016,94.143,1.55,0.016464,-4.10656,2016,1,0,0,,1.551659,19,1.55434,2.088,Medium,0,51,0.6663,1.358,Small,0
anderja01,James Anderson,1197,"Jul 13, 2006",2006,CAR,1.567,standard,1,,0.25,0.27,0,0,0,free_agency,CAR,1,0,,0,2006,,0.522,,,2008,1,0,1,,,,,,,,,,,,
anderja01,James Anderson,1197,"Apr 21, 2009",2009,CAR,1.01,standard,1,RFA,0.25,0.25,0,0,0,free_agency,CAR,1,0,,0,2009,,1.01,,,2009,1,0,0,,,,,,,,,,,,
anderja01,James Anderson,1197,"Apr 20, 2010",2010,CAR,1.176,standard,1,RFA,0.25,0.25,0,0,0,free_agency,CAR,1,0,,0,2010,,1.176,,,2010,1,0,0,,,,,,,,,,,,
anderja01,James Anderson,1197,"Jul 29, 2011",2011,CAR,22.0,standard,1,RFA,0.25,0.29,0,0,0,free_agency,CAR,1,0,,0,2011,,4.4,,,2015,1,0,1,,,,,,,,,,,,
anderja01,James Anderson,1197,"Mar 24, 2013",2013,CHI,1.25,standard,1,RFA,0.25,0.25,0,0,0,free_agency,CHI,1,0,,0,2013,,1.25,,,2013,1,0,0,,,3,3.65475,9.441,Large,1,3,3.65475,9.441,Large,1
anderju01,Justin Anderson,17849,"Aug 01, 2015",2015,DAL,2.96,standard,1,,0.25,0.26,0,0,0,free_agency,DAL,1,0,,2,2015,70.0,1.48,0.021143,-3.856453,2016,1,0,1,,1.449,4,3.26449,7.943,Large,1,4,3.26449,7.943,Large,1
