player_id,player_name,spotrac_id,matched_name,position,confidence
evbuoto01,Tosan Evbuomwan,85500,Tosan Evbuomwan,Shooting Guard,high
exumda01,Danté Exum,15357,Dante Exum,Point Guard,high
ezelife01,Festus Ezeli,10855,Festus Ezeli,Center,high
farieke01,Kenneth Faried,8073,Kenneth Faried,Power Forward,high
favorde01,Derrick Favors,6884,Derrick Favors,Center,high
fearsje01,Jeremiah Fears,98603,Jeremiah Fears,Point Guard,high
feldeka01,Kay Felder,20260,Kay Felder,Point Guard,high
feliccr01,Cristiano Felício,17990,Cristiano Felicio,Power Forward,high
feltora01,Raymond Felton,2229,Raymond Felton,Point Guard,high
fergute01,Terrance Ferguson,23616,Terrance Ferguson,Small Forward,high
fernabr01,Bruno Fernando,31593,Bruno Fernando,Center,high
ferreyo01,Yogi Ferrell,20283,Yogi Ferrell,Point Guard,high
filipky01,Kyle Filipowski,91757,Kyle Filipowski,Power Forward,high
finnedo01,Dorian Finney-Smith,20757,Dorian Finney-Smith,Power Forward,high
flaggco01,Cooper Flagg,98597,Cooper Flagg,Small Forward,high
flemira01,Rasheer Fleming,98617,Rasheer Fleming,Power Forward,high
flynnma01,Malachi Flynn,70671,Malachi Flynn,Point Guard,high
fontesi01,Simone Fontecchio,78654,Simone Fontecchio,Small Forward,high
forbebr01,Bryn Forbes,20796,Bryn Forbes,Shooting Guard,high
forretr01,Trent Forrest,70708,Trent Forrest,Point Guard,high
fournev01,Evan Fournier,10845,Evan Fournier,Shooting Guard,high
foxde01,De'Aaron Fox,23600,De'Aaron Fox,Point Guard,high
foyera01,Randy Foye,2576,Randy Foye,Shooting Guard,high
fraziti01,Tim Frazier,15755,Tim Frazier,Point Guard,high
fryech01,Channing Frye,2674,Channing Frye,Power Forward,high
fultzma01,Markelle Fultz,23596,Markelle Fultz,Point Guard,high
furphjo01,Johnny Furphy,91768,Johnny Furphy,Shooting Guard,high
gabriwe01,Wenyen Gabriel,27806,Wenyen Gabriel,Power Forward,high
gaffoda01,Daniel Gafford,31597,Daniel Gafford,Center,high
gallida01,Danilo Gallinari,6138,Danilo Gallinari,Power Forward,high
gallola01,Langston Galloway,15824,Langston Galloway,Shooting Guard,high
garlada01,Darius Garland,31562,Darius Garland,Point Guard,high
garneke01,Kevin Garnett,2214,Kevin Garnett,Power Forward,high
garubus01,Usman Garuba,74130,Usman Garuba,Power Forward,high
